Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls
14,0.6539707,-0.20818558,-0.99151045,0.115564495,-132.26689818995445,1,-132.26689818995445,-132.26689818995445,-132.26689818995445,0.0,-0.0012678140839042591,-0.1322668981899544,-15.351714898364019,1.0589384819012426,15,15000,1000,1000.0,1000,0.0,0.98826015,-0.22045404,-0.96851003,0.35038254,-133.93212933430019,1,-133.93212933430019,-133.93212933430019,-133.93212933430019,0.0,-0.0040235883713096235,-0.13393212933429985,-15.234481545910022,1.0273966771548457,16,16000,1000,1000.0,1000,0.0,16000,0.00926399999991645,50.46403139999654,2.537013999999999,6.86000880000006,0.010921899999971174,41.04642679999665,0.0002248999999210355,829.1959771999999,0.00017100000002301385,0.09125257283449173,-0.6023356318473816,4.9507055,0.7484108,-2.3762827,1.6496471,96.345215,-45.44802,-97.20148,-285.9452,72.234085,-45.7953,-97.2951,-285.1991,71.893005,-45.64492,-97.20559,-285.52197,71.948845,4.11507,3.1493373,15000
15,0.99728185,-0.22944903,-0.2606248,0.1694821,-126.26972006507566,1,-126.26972006507566,-126.26972006507566,-126.26972006507566,0.0,-0.00156573916068873,-0.1262697200650758,-11.952433847068637,0.9393267742894961,16,16000,1000,1000.0,1000,0.0,0.99556154,-0.2864027,-0.9990899,0.3699803,-254.49057727842015,1,-254.49057727842015,-254.49057727842015,-254.49057727842015,0.0,-0.0024543552089138733,-0.2544905772784203,-15.17876829222959,1.385571342659514,17,17000,1000,1000.0,1000,0.0,17000,0.008588700000018434,49.815693000000465,2.488529900000003,6.748561799999948,0.009460300000000643,40.56020930000034,0.00019030000009934156,883.7056611000005,0.00015270000005784823,0.08130821585655212,0.9077364206314087,5.762738,1.3617188,-2.9038532,2.0919263,111.62993,-43.87633,-113.788536,-327.15106,93.46862,-41.51723,-114.11368,-326.36118,93.69644,-43.834473,-113.98161,-324.9113,93.74622,7.247413,4.096299,16000
16,-0.32935682,-0.3381826,-0.95987415,0.06797469,-19.40413249994055,1,-19.40413249994055,-19.40413249994055,-19.40413249994055,0.0,-0.017891435881711038,-0.019404132499940545,-0.11619568790381694,0.010577048635462263,17,17000,1000,1000.0,1000,0.0,0.99577385,-0.32798302,-0.96161354,0.35239908,-143.35888667691054,1,-143.35888667691054,-143.35888667691054,-143.35888667691054,0.0,-0.012862903045000122,-0.14335888667691063,-15.3197926686758,1.0491344996090437,18,18000,1000,1000.0,1000,0.0,18000,0.008425699999975222,50.27057169999932,2.5502129000000195,6.862950299999966,0.010434999999915817,40.83820249999951,0.0002008000000159882,938.1259797000007,0.00014449999991938967,0.07656612247228622,0.3337368071079254,6.0010715,1.1298789,-5.5817595,2.1682658,100.61513,-42.30624,-102.6193,-319.4711,85.78615,-42.45976,-102.72351,-324.34763,86.0385,-42.86349,-103.324936,-327.66107,86.30384,5.575804,5.1459055,17000
17,-0.026904035,-0.035190675,-0.34734914,0.041732665,-0.6686443910267338,1,-0.6686443910267338,-0.6686443910267338,-0.6686443910267338,0.0,-0.00011871311193185743,-0.0006686443910267339,-0.05666874031275358,0.003571732070247787,18,18000,1000,1000.0,1000,0.0,0.98148143,-0.036729425,-0.8970614,0.40827402,-2.3075361975529862,1,-2.3075361975529862,-2.3075361975529862,-2.3075361975529862,0.0,-1.7228196885090315e-05,-0.0023075361975529855,-0.07471578681231626,0.005515939725570934,19,19000,1000,1000.0,1000,0.0,19000,0.00952499999993961,50.88789120000092,2.4502381999999443,6.892630800000006,0.011075400000095215,41.523869800000966,0.0002511000000140484,993.2932351000011,0.0003008999999565276,0.07186564058065414,-0.2389986515045166,5.9301353,0.909228,-2.3160536,1.6295094,83.10326,-40.926365,-83.050095,-329.17554,65.1422,-41.288197,-83.65036,-326.99466,65.19263,-40.936222,-83.26145,-328.67,65.37628,4.10686,2.9033008,18000
18,0.9597257,-0.332102,-0.782649,0.14337815,-139.10904227808857,1,-139.10904227808857,-139.10904227808857,-139.10904227808857,0.0,-0.0010612829576033289,-0.13910904227808846,-14.9639216489902,1.0443474762328266,19,19000,1000,1000.0,1000,0.0,0.93605375,-0.3803386,-0.9748748,0.29973394,-149.29737005358385,1,-149.29737005358385,-149.29737005358385,-149.29737005358385,0.0,-0.015359516304174555,-0.14929737005358384,-14.741805248642383,1.010801702363472,20,20000,1000,1000.0,1000,0.0,20000,0.009835599999973965,50.550896199993645,2.598444900000004,6.865922800000021,0.010155400000030568,41.06622089999394,0.00018609999983709713,1048.1688705999916,0.00013049999984104943,0.06702844798564911,0.42079511284828186,6.8701553,1.1556978,-1.8889092,2.07338,81.33966,-39.38627,-83.10278,-331.2831,74.563675,-39.476368,-83.21217,-328.65793,74.20417,-39.393566,-83.16101,-330.33203,74.56564,9.773413,4.976021,19000
19,0.9979799,-0.10218215,-0.9948872,0.17422715,-243.79721423087767,1,-243.79721423087767,-243.79721423087767,-243.79721423087767,0.0,-0.0008864636007927643,-0.2437972142308773,-12.696674822629502,1.3633202371504185,20,20000,1000,1000.0,1000,0.0,0.9995527,-0.17307176,-0.9680005,0.39750952,-241.65870901376456,1,-241.65870901376456,-241.65870901376456,-241.65870901376456,0.0,-0.0012532278198050233,-0.2416587090137642,-14.407305683124347,1.3566039301151505,21,21000,1000,1000.0,1000,0.0,21000,0.009011800000052972,50.780595800002175,2.548077499999863,6.75862189999998,0.009243100000048798,41.45532580000213,0.0001908000001549226,1103.0743395999991,0.00012489999994613754,0.06169172748923302,-0.828993558883667,5.406123,0.7024009,-2.6636224,1.5159011,89.55864,-37.84627,-89.82558,-341.8376,78.02943,-38.32615,-90.444336,-340.5457,77.963066,-38.044285,-90.068665,-342.5559,78.05743,2.7716522,2.1688669,20000
20,0.7889699,-0.064568706,-0.93322384,0.11073035,-123.52093454651802,1,-123.52093454651802,-123.52093454651802,-123.52093454651802,0.0,-0.00035772368805353364,-0.123520934546518,-14.17986982524938,1.0062072024624251,21,21000,1000,1000.0,1000,0.0,0.99575144,-0.08133056,-0.99821126,0.4389108,-248.32020144861318,1,-248.32020144861318,-248.32020144861318,-248.32020144861318,0.0,-6.05362376070971e-05,-0.24832020144861347,-15.859111146089422,1.4206308962197716,22,22000,1000,1000.0,1000,0.0,22000,0.010126399999990099,51.002975700004754,2.612307799999826,6.760293000000047,0.009172300000045652,41.610784100004594,0.00016520000008313218,1158.3784347000021,0.0001269000001684617,0.056926265358924866,0.49761033058166504,5.8158455,1.1736255,-1.3958272,1.6652827,93.85492,-36.228966,-94.62822,-346.28653,93.17649,-36.62875,-95.89031,-344.34808,93.67218,-36.484516,-95.39491,-344.74335,93.49375,15.016778,8.993946,21000
21,0.9816583,-0.07135071,-0.08717398,0.10743731,-115.22122338262778,1,-115.22122338262778,-115.22122338262778,-115.22122338262778,0.0,-0.0005683846783625852,-0.1152212233826278,-13.354044715048058,0.9769250406586797,22,22000,1000,1000.0,1000,0.0,0.9391142,-0.11311057,-0.999227,0.42398408,-123.35334643705842,1,-123.35334643705842,-123.35334643705842,-123.35334643705842,0.0,-0.0005845259248834199,-0.1233533464370584,-14.279337786373091,0.9940648828300989,23,23000,1000,1000.0,1000,0.0,23000,0.009774999999990541,50.96055640000145,2.4524300999999014,6.7421816000000945,0.008758899999975256,41.74709720000169,0.00017389999993611127,1213.5310294000046,0.0001396999998632964,0.05321415141224861,-0.2333654761314392,7.3688846,0.9204463,-1.7191662,1.8195306,68.7155,-34.929207,-69.0968,-350.7586,65.61037,-35.47698,-69.95732,-350.2333,65.91787,-35.05981,-69.3759,-350.67624,65.85968,12.664097,5.6719265,22000
22,0.9895766,-0.13060987,-0.8434142,0.11099377,-121.55124695393799,1,-121.55124695393799,-121.55124695393799,-121.55124695393799,0.0,-0.0014610784440250357,-0.12155124695393811,-15.256522646153373,1.026382128215318,23,23000,1000,1000.0,1000,0.0,0.86475235,-0.19862325,-0.9933132,0.39620787,-121.00868327715442,1,-121.00868327715442,-121.00868327715442,-121.00868327715442,0.0,-0.0015054562910128122,-0.12100868327715446,-13.068424347452988,0.9552653505550505,24,24000,1000,1000.0,1000,0.0,24000,0.009453399999983958,50.514098599999215,2.4774040999998306,6.617003299999851,0.010541699999976117,41.39939239999944,0.0001809000000321248,1268.2856968000056,0.00012280000009923242,0.049707669764757156,-0.6421225070953369,5.7831516,0.78607297,-1.6043792,1.6751776,56.426533,-33.498386,-56.845764,-313.35614,62.50292,-34.00815,-57.254757,-311.6164,62.34268,-33.74641,-57.20652,-312.81763,62.4962,0.73109436,4.1322155,23000
23,0.99310464,-0.15317786,-0.91488284,0.12007252,-124.44177871896585,1,-124.44177871896585,-124.44177871896585,-124.44177871896585,0.0,-0.0017221353539895782,-0.12444177871896575,-15.655680672944111,1.0402421628827088,24,24000,1000,1000.0,1000,0.0,0.97782403,-0.20311774,-0.98524344,0.3661912,-132.70515796764494,1,-132.70515796764494,-132.70515796764494,-132.70515796764494,0.0,-0.0016852751062221135,-0.13270515796764532,-14.310431661884474,1.0218110929555895,25,25000,1000,1000.0,1000,0.0,25000,0.008571699999947668,50.09952989999874,2.4992990999999165,6.807120400000031,0.010589499999923646,40.7735749999988,0.0002001000000291242,1322.7644047000033,0.0001741000000947679,0.046041782945394516,-1.8111789226531982,4.835231,0.41161215,-5.0502286,1.1738253,49.964817,-32.141838,-49.696335,-203.27287,43.296555,-32.13817,-49.883923,-205.09465,43.175682,-32.60781,-50.13842,-204.79103,43.21862,0.6681091,0.6001773,24000
